# Pathway	demo_Abundance
UNMAPPED	5192.1345844087
UNINTEGRATED	33709.4668447755
UNINTEGRATED|unclassified	33709.4668447755
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	110.7430467456
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|unclassified	110.7430467456
PWY-6700: queuosine biosynthesis I (de novo)	92.1645201573
PWY-6700: queuosine biosynthesis I (de novo)|unclassified	92.1645201573
PWY-6124: inosine-5'-phosphate biosynthesis II	90.4563706757
PWY-6124: inosine-5'-phosphate biosynthesis II|unclassified	90.4563706757
VALSYN-PWY: L-valine biosynthesis	90.1202587014
VALSYN-PWY: L-valine biosynthesis|unclassified	90.1202587014
PWY-6609: adenine and adenosine salvage III	87.4843173431
PWY-6609: adenine and adenosine salvage III|unclassified	87.4843173431
PWY-1042: glycolysis IV	85.1231595284
PWY-1042: glycolysis IV|unclassified	85.1231595284
PWY-6703: preQ0 biosynthesis	82.8915798562
PWY-6703: preQ0 biosynthesis|unclassified	82.8915798562
PWY-5695: inosine 5'-phosphate degradation	82.0241168569
PWY-5695: inosine 5'-phosphate degradation|unclassified	82.0241168569
PWY-5686: UMP biosynthesis I	77.8679154198
PWY-5686: UMP biosynthesis I|unclassified	77.8679154198
PWY-7790: UMP biosynthesis II	77.8679154198
PWY-7790: UMP biosynthesis II|unclassified	77.8679154198
PWY-7791: UMP biosynthesis III	77.8679154198
PWY-7791: UMP biosynthesis III|unclassified	77.8679154198
TRNA-CHARGING-PWY: tRNA charging	73.2017213754
TRNA-CHARGING-PWY: tRNA charging|unclassified	73.2017213754
PWY-6123: inosine-5'-phosphate biosynthesis I	72.9077058178
PWY-6123: inosine-5'-phosphate biosynthesis I|unclassified	72.9077058178
PWY-7221: guanosine ribonucleotides de novo biosynthesis	70.9203417825
PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified	70.9203417825
PWY-5097: L-lysine biosynthesis VI	69.6774503474
PWY-5097: L-lysine biosynthesis VI|unclassified	69.6774503474
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	68.1229126087
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified	68.1229126087
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	67.9048537055
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|unclassified	67.9048537055
PWY-7851: coenzyme A biosynthesis II (eukaryotic)	67.9048537055
PWY-7851: coenzyme A biosynthesis II (eukaryotic)|unclassified	67.9048537055
PWY-3841: folate transformations II (plants)	66.5631207783
PWY-3841: folate transformations II (plants)|unclassified	66.5631207783
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	65.1826665730
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|unclassified	65.1826665730
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	62.3931268612
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|unclassified	62.3931268612
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	62.2654069230
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|unclassified	62.2654069230
